Date,Confirmed,Recovered,Deaths,Day_deaths,Day_confirmed,Day_recovered,Rt,Rt2,Rate_conf,Rate_ill,Region,Remaining_ill,MA7_dayconfirmed,MA14_dayconfirmed,MA7_remaining_ill,MA14_remaining_ill,Change_dayconf,Change_remill
2020-03-12,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,,,,,0,0
2020-03-13,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,,,,,0,0
2020-03-14,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,,,,,0,0
2020-03-15,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,,,,,0,0
2020-03-16,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,,,,,0,0
2020-03-17,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,,,,,0,0
2020-03-18,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,0.0,,0.0,,0,0
2020-03-19,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,0.0,,0.0,,0,0
2020-03-20,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,0.0,,0.0,,0,0
2020-03-21,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,0.0,,0.0,,0,0
2020-03-22,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,0.0,,0.0,,0,0
2020-03-23,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,0.0,,0.0,,0,0
2020-03-24,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,0.0,,0.0,,0,0
2020-03-25,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,0.0,0.0,0.0,0.0,0,0
2020-03-26,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,0.0,0.0,0.0,0.0,0,0
2020-03-27,0,0,0,0,0,0,,,0.0,0.0,Адыгея,0,0.0,0.0,0.0,0.0,0,0
2020-03-28,1,0,0,0,1,0,inf,inf,0.07911392405063292,0.08244023083264633,Адыгея,1,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142,1,1
2020-03-29,1,0,0,0,0,0,inf,inf,0.0651890482398957,0.06839945280437756,Адыгея,1,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.14285714285714285,-1,0
2020-03-30,4,0,0,0,3,0,inf,inf,0.2178649237472767,0.2271436683702442,Адыгея,4,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.42857142857142855,3,3
2020-03-31,4,0,0,0,0,0,inf,inf,0.17115960633290545,0.18190086402910413,Адыгея,4,0.5714285714285714,0.2857142857142857,1.4285714285714286,0.7142857142857143,-3,0
2020-04-01,4,0,0,0,0,0,3.0,13.0,0.14404033129276198,0.15606710885680844,Адыгея,4,0.5714285714285714,0.2857142857142857,2.0,1.0,0,0
2020-04-02,5,0,0,0,1,0,4.0,8.5,0.14092446448703494,0.15229972586049345,Адыгея,5,0.7142857142857143,0.35714285714285715,2.7142857142857144,1.3571428571428572,1,1
2020-04-03,5,0,0,0,0,0,0.25,3.0,0.12051096649795132,0.13041210224308816,Адыгея,5,0.7142857142857143,0.35714285714285715,3.4285714285714284,1.7142857142857142,-1,0
2020-04-04,7,0,0,0,2,0,0.75,2.1,0.14796026210103572,0.16073478760045926,Адыгея,7,0.8571428571428571,0.5,4.285714285714286,2.2142857142857144,2,2
2020-04-05,7,0,0,0,0,0,1.0,1.846,0.12989422898496938,0.14030867909400682,Адыгея,7,0.8571428571428571,0.5,5.142857142857143,2.7142857142857144,-2,0
2020-04-06,13,0,0,0,6,0,2.0,1.882,0.2049503389563298,0.22071307300509338,Адыгея,13,1.2857142857142858,0.9285714285714286,6.428571428571429,3.642857142857143,6,6
2020-04-07,13,0,0,0,0,0,8.0,2.222,0.17340269441109776,0.18718502519798416,Адыгея,13,1.2857142857142858,0.9285714285714286,7.714285714285714,4.571428571428571,-6,0
2020-04-08,13,0,0,0,0,0,2.0,2.19,0.14990774907749077,0.1619130651388716,Адыгея,13,1.2857142857142858,0.9285714285714286,9.0,5.5,0,0
2020-04-09,13,2,0,0,0,2,2.0,2.167,0.12831902082716415,0.1175590467030031,Адыгея,11,1.1428571428571428,0.9285714285714286,9.857142857142858,6.285714285714286,0,-2
2020-04-10,20,2,0,0,7,0,0.875,1.844,0.1678274733573886,0.1632208922742111,Адыгея,18,2.142857142857143,1.4285714285714286,11.714285714285714,7.571428571428571,7,7
2020-04-11,20,2,0,0,0,0,0.875,1.65,0.14723203769140164,0.1447759993565511,Адыгея,18,1.8571428571428572,1.3571428571428572,13.285714285714286,8.785714285714286,-7,0
2020-04-12,20,5,0,0,0,3,1.167,1.587,0.12691160606637478,0.10461710140884363,Адыгея,15,1.8571428571428572,1.3571428571428572,14.428571428571429,9.785714285714286,0,-3
2020-04-13,20,5,0,0,0,0,1.167,1.538,0.10912265386294194,0.08976660682226212,Адыгея,15,1.0,1.1428571428571428,14.714285714285714,10.571428571428571,0,0
2020-04-14,27,6,0,0,7,1,1.0,1.475,0.12794995735001422,0.1091589562324566,Адыгея,21,2.0,1.6428571428571428,15.857142857142858,11.785714285714286,7,6
2020-04-15,27,12,0,0,0,6,1.0,1.424,0.11024908125765619,0.0672464807675065,Адыгея,15,2.0,1.6428571428571428,16.142857142857142,12.571428571428571,-7,-6
2020-04-16,43,15,1,1,16,3,3.286,1.603,0.15391223423294437,0.10629084324068971,Адыгея,27,4.285714285714286,2.7142857142857144,18.428571428571427,14.142857142857142,16,12
2020-04-17,79,15,2,1,36,0,8.429,2.2,0.24681329667583105,0.21272945616743866,Адыгея,62,8.428571428571429,5.285714285714286,24.714285714285715,18.214285714285715,20,35
2020-04-18,84,15,2,0,5,0,8.143,2.678,0.22830429701301877,0.20046076055410944,Адыгея,67,9.142857142857142,5.5,31.714285714285715,22.5,-31,5
2020-04-19,91,15,2,0,7,0,9.143,3.16,0.21235386087321775,0.18877069462513713,Адыгея,74,10.142857142857142,6.0,40.142857142857146,27.285714285714285,2,7
2020-04-20,100,16,2,0,9,1,2.478,3.026,0.2122196048470958,0.18950774208458515,Адыгея,82,11.428571428571429,6.214285714285714,49.714285714285715,32.214285714285715,2,8
2020-04-21,108,21,2,0,8,5,0.492,2.176,0.2046888918370828,0.17549655200891937,Адыгея,85,11.571428571428571,6.785714285714286,58.857142857142854,37.357142857142854,-1,3
2020-04-22,113,26,3,1,5,5,0.509,1.768,0.1948309453611269,0.15829344589756153,Адыгея,84,12.285714285714286,7.142857142857143,68.71428571428571,42.42857142857143,-3,-1
2020-04-23,114,32,3,0,1,6,0.359,1.465,0.18160674175202715,0.1378059204214419,Адыгея,79,10.142857142857142,7.214285714285714,76.14285714285714,47.285714285714285,-4,-5
2020-04-24,117,32,3,0,3,0,0.298,1.277,0.1704992567981114,0.13132817630006888,Адыгея,82,5.428571428571429,6.928571428571429,79.0,51.857142857142854,2,3
2020-04-25,119,32,3,0,2,0,0.379,1.209,0.1595430900412935,0.12415566755841967,Адыгея,84,5.0,7.071428571428571,81.42857142857143,56.57142857142857,-1,2
2020-04-26,134,32,3,0,15,0,0.724,1.175,0.16553632534064658,0.1348057571590027,Адыгея,99,6.142857142857143,8.142857142857142,85.0,62.57142857142857,13,15
2020-04-27,142,32,3,0,8,0,1.217,1.177,0.16294307319815943,0.1354293236127987,Адыгея,107,6.0,8.714285714285714,88.57142857142857,69.14285714285714,-7,8
2020-04-28,150,32,3,0,8,0,1.941,1.206,0.16032835246585006,0.1365179610152188,Адыгея,115,6.0,8.785714285714286,92.85714285714286,75.85714285714286,0,8
